"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05165","Human papillomavirus infection","289/5851","331/8662",2.40647593957139e-17,8.13388867575129e-15,4.3316566912285e-15,"PTEN/CSNK1A1L/IFNA16/IFNA7/ITGA8/COL6A1/RBL1/CREBBP/WNT7A/IFNA10/CREB5/E2F1/COL4A5/HES5/AKT3/LAMA1/ATP6V0D2/WNT8B/TCF7L1/LAMA4/TNXB/TNF/HLA-E/NOTCH4/SCRIB/CCNE1/LAMB4/ATP6V1G1/PTGER4/ATR/NOTCH1/EP300/HES1/LAMC1/PPP2CB/IFNB1/IFNA21/FZD1/ATP6V1F/IBSP/MAP2K1/TUBG2/RELN/ATP6V0A2/IFNA14/IFNA5/IFNA2/IFNA8/RBL2/TCF7L2/LAMB2/LAMA2/IFNA6/IFNA13/FZD9/EIF4EBP1/CHD4/EGF/TBPL2/TNC/HEYL/WNT3A/PIK3CA/THBS1/EGFR/FADD/FZD7/ITGB3/TICAM1/MDM2/COL4A4/COL6A3/COL6A6/CCND1/NRAS/COL6A5/FZD10/ATP6V1B1/UBR4/FZD5/CASP8/FZD4/FZD2/TP53/ATM/FASLG/WNT9A/WNT6/HES3/TNN/PPP2R3B/ITGA9/JAG1/MAML1/RB1/PPP2R5E/NFX1/MX1/LAMA5/HRAS/RBPJL/IFNAR2/ITGA2/COL6A2/PARD6G/PPP2R2D/PRKACA/ITGA5/CCNA1/ATP6V1H/HLA-F/HLA-A/HLA-B/HLA-C/TBPL1/PRKACG/UBE3A/VTN/CRB3/PPP2R5D/PPP2R5B/APC2/ITGB6/LAMC2/CREB3L1/FZD3/IKBKB/LAMB1/NOTCH3/GNAS/PARD3/PPP2R2B/THBS2/BAD/VWF/RBPJ/PTK2/MAML3/GSK3B/COL9A2/PKM/COL1A1/TLR3/ITGB1/LFNG/PIK3R1/TRAF3/CHUK/FN1/WNT2/RFNG/MAP2K2/COL1A2/ITGB5/PTGS2/TADA3/TERT/TCF7/ITGA4/CREB3L2/APC/COL4A3/DVL3/THBS4/TYK2/PXN/CHAD/MAGI1/IKBKE/DLG1/PPP2R1A/STAT2/CTNNB1/ITGA10/OASL/RELA/SOS1/TCIRG1/NOTCH2/RAF1/ATP6V0A1/PPP2R3A/DLG2/PIK3R3/ITGA6/ATP6V1C2/AXIN2/PRKCZ/ITGAV/PRKCI/DVL1/PIK3CD/JAK1/MTOR/TNR/IRF9/FOXO1/COL4A2/COL4A1/MAPK1/MX2/ATP6V1E1/ITGA11/AXIN1/LAMA3/WNT3/WNT9B/ITGB8/ITGA1/ATP6V1C1/ATP6V1G3/ITGB7/PARD6B/PPP2R1B/HLA-G/LAMC3/ATP6V0A4/WNT16/ATP6V1D/CCNA2/FZD8/PDGFRB/PIK3CB/SOS2/ATP6V0C/PIK3R2/COL4A6/WNT7B/CDK4/CCNE2/PPP2R5A/LAMB3/ATP6V1E2/THBS3/RPS6KB2/HES6/CCND2/FAS/SPP1/IRF1/WNT10A/COL2A1/WNT5A/TUBG1/IFNA4/TBP/LLGL2/DLG3/WNT8A/NFKB1/PPP2R5C/ITGA2B/ATP6V0D1/CASP3/DVL2/TBK1/PARD6A/HEY1/CREB3L3/TSC1/ATP6V1B2/FZD6/AKT1/EIF2AK2/BAX/COL9A1/CDKN1B/VEGFA/WNT11/CSNK1A1/WNT1/HEY2/WNT5B/TSC2/AKT2/WNT4/TNFRSF1A/ITGA7/KRAS/CREB1/ITGB4/ITGA3/ATP6V1A/MAML2/RPS6KB1/STAT1/LLGL1/CDC42/PRKACB",289
"hsa04740","Olfactory transduction","370/5851","439/8662",2.73706946717853e-16,4.62564739953172e-14,2.46336252046068e-14,"OR4C12/OR4M2/OR4N4/OR4K5/OR4K1/OR4K15/OR4L1/OR11G2/OR8U1/OR5M9/OR5M8/OR5AL1/OR52J3/OR52E2/OR52E1/OR2F2/OR5P2/OR5P3/OR4C13/OR5L2/OR7C2/OR10A7/OR5D14/OR9Q1/OR10W1/OR5B17/OR5I1/OR5W2/OR5D16/OR2T6/OR2T3/OR14I1/OR2G6/OR2T34/OR2C1/OR6S1/CALML5/CALML3/OR14J1/OR2W1/OR1K1/OR12D3/OR4N2/OR2A25/OR2A2/OR2B6/OR6V1/OR9A2/SLC24A4/OR1D4/OR1D5/OR51A2/OR51B6/OR52D1/OR13F1/OR52B6/OR13C4/OR13C8/OR13C5/OR13C2/OR13C9/OR52E6/GUCY2D/OR4C46/OR52L1/OR56B4/OR10J5/OR1J1/OR1J2/OR1J4/OR1Q1/OR1L1/CNGA2/OR4F21/OR11H12/OR2B2/OR13J1/OR5F1/OR8H3/OR8K5/OR5J2/OR10Q1/OR4D11/OR10G9/OR2G2/OR2G3/OR2Y1/OR6C70/OR6C68/OR5AN1/OR51L1/OR4F15/OR52N5/OR5A2/OR10H2/OR10A4/OR7G1/OR7G3/OR2M7/OR14C36/OR1E1/OR1E2/OR56A3/OR52K2/OR10T2/OR52M1/OR1A2/OR1N1/OR1L4/OR5C1/OR10A5/OR4D5/OR5D18/OR2D3/OR4A16/OR51T1/OR2D2/OR5M10/OR6T1/OR6X1/OR8B4/OR6M1/OR5B21/OR51I1/OR51B2/OR5AP2/OR4D6/OR52N2/OR5K2/OR2AE1/OR6C76/OR6C65/OR6C74/OR10P1/OR1G1/OR2L3/OR2M4/OR10K2/CAMK2B/OR51F1/GNG13/OR10X1/OR11L1/OR2W3/OR2L8/OR2M5/OR6F1/OR2T12/OR2T33/OR6K2/OR4F3/OR1F1/OR5AK2/OR5AC2/OR5K4/OR5K3/OR4X1/OR52E8/OR4A15/OR10AD1/OR52B2/OR52W1/OR4A47/OR4S1/OR4C3/OR4C5/OR56A5/OR1S2/RGS2/SLC8A1/OR6B2/GNB1/OR6B3/OR9G4/OR4K2/OR4K14/OR4K13/OR11H6/OR11H4/OR10J1/OR5T3/OR5T1/OR8H1/OR8K3/OR8J1/OR5M3/OR10A6/OR10A3/OR5D13/OR4C16/OR4A5/OR10H4/PRKACA/NCALD/OR2T4/OR2T1/OR5L1/OR2T11/OR2T27/OR5AU1/PDE1C/OR2J3/OR5V1/OR11A1/OR2J2/OR2H2/OR11H1/OR10C1/OR2H1/OR2A14/OR2A7/PRKACG/OR51G1/OR13H1/OR4M1/OR2K2/OR7A5/OR2V2/OR9A4/CNGB1/OR13C3/OR13D1/CALM1/OR4D2/OR8D4/OR4C6/OR8H2/OR56A4/OR52A5/OR5B2/OR10H1/OR4D10/OR7D4/OR1D2/OR51M1/OR5M1/OR51F2/OR10A2/OR5A1/OR52E4/OR6A2/OR2AG2/OR10G8/OR8J3/SLC8A3/OR5H1/OR5H14/OR5H6/OR10G4/OR1B1/OR8I2/OR5AR1/OR52N4/OR8D2/OR9I1/OR56A1/OR10AG1/OR9K2/SLC8A2/ADCY3/OR6C3/OR5H15/OR51V1/OR14A16/OR2M2/OR10K1/OR13G1/OR1C1/OR2M3/OR6N1/OR10Z1/OR4B1/OR2B11/OR2C3/ANO2/PDE1A/OR3A1/PDE2A/OR1S1/OR52I2/OR3A2/OR3A3/OR2AK2/OR6K6/OR10R2/OR2L13/CNGA3/OR4K17/OR4N5/OR5T2/OR2F1/OR6B1/OR13A1/GNAL/OR2T2/OR2T10/PRKG1/OR12D2/OR2A12/OR52R1/OR51Q1/OR4Q3/OR56B1/PDE1B/OR8A1/OR4E2/OR1L3/OR1L8/ARRB2/OR4S2/OR4D9/OR4F6/OR8D1/OR5B3/OR52A1/OR52N1/OR8B8/OR10H5/OR7E24/OR7A10/OR1M1/OR7D2/OR7A17/CAMK2G/OR51I2/OR52K1/OR8B3/OR8B2/OR51G2/OR51A7/OR51A4/OR1A1/OR1N2/OR1L6/OR4D1/OR51E2/CAMK2A/OR6Q1/OR5AS1/OR4C15/OR8B12/OR5M11/OR4C11/OR52H1/OR2Z1/OR7G2/OR4F17/OR6C2/ARRB1/OR51S1/OR6C4/OR6C75/OR6C6/CAMK2D/OR5B12/PRKG2/OR2L2/OR6C1/OR6K3/OR2T8/OR8S1/OR5H2/OR4X2/OR51B5/OR10S1/OR6N2/CNGA4/OR4P4/OR2AT4/PRKACB",370
"hsa04080","Neuroactive ligand-receptor interaction","304/5851","367/8662",1.24434456152081e-11,1.40196153931344e-09,7.46606736912485e-10,"HRH4/ADRA1D/GALR1/MLNR/MC3R/GRPR/PTGDR/SSTR3/UCN3/GABRG3/GPHB5/RXFP2/ADRA1A/DRD4/SCT/CYSLTR1/DRD5/SSTR1/GRIN3A/EDN1/PTGER2/GRIN3B/S1PR4/BDKRB1/OXT/AVP/BRS3/P2RX1/TACR3/PTGER1/NTSR2/HTR1E/NTSR1/RLN3/GALR3/NPBWR2/TAAR6/GABRA4/GABRG1/TAAR2/GAL/NPS/SLURP1/GZMA/QRFP/CRH/NPBWR1/ADM2/NPY5R/GIP/RXFP3/NMS/CHRM5/NPFFR1/AGTR2/MC2R/NPY2R/NR3C1/APLN/GNRHR/P2RY1/PTGER4/DRD1/MCHR1/GRIA3/LPAR3/CTSG/GHSR/TSHB/TRHR/GLP2R/HTR1A/BDKRB2/GRIK4/NMUR2/P2RY11/GABRQ/FPR2/FPR3/MAS1/GABRG2/GABRA2/PTH2/SSTR4/AVPR1A/ADRA2A/GALR2/P2RY4/ADRB1/PGRMC1/ADRB2/CCKAR/HCRTR2/CHRND/CORT/CNR1/HTR2B/NMUR1/HCRT/NPFFR2/MTNR1B/NPB/CHRNA10/RLN2/RLN1/RXFP4/S1PR3/NMBR/TAAR1/GRIN2D/TBXA2R/GRM3/TAAR5/CHRM1/F2RL2/F2R/F2RL1/VGF/ADRA2C/HTR7/GABRA3/F2RL3/MTNR1A/UCN2/HTR1F/UTS2R/TAAR8/C5/OPRK1/GLP1R/S1PR5/CHRM4/GRM5/INSL3/P2RY13/PLG/P2RX3/NPFF/GRIA2/APLNR/CHRNA9/GABRR2/GABRP/HRH1/INSL5/AVPR1B/C3AR1/LEP/ADRA2B/SSTR5/CNR2/TRH/PMCH/KISS1/PRLH/UCN/ADORA2B/ADORA3/GRM7/SST/AGT/HTR6/HTR1D/LTB4R/PDYN/HTR2A/CYSLTR2/GRID1/CHRNA4/GHR/P2RY10/CALCB/NPSR1/MCHR2/CHRNB3/GABBR2/GRIK1/PRLR/ADCYAP1/FSHR/VIP/GLRA3/GABBR1/PENK/NPY1R/HTR1B/RXFP1/PRSS1/TSHR/VIPR2/CRHR2/S1PR2/CALCR/GABRA6/CALCRL/THRB/GABRB2/PTH1R/PARD3/CHRM3/CHRNG/TAC3/LEPR/GIPR/GHRHR/GH1/GRIK2/PPY/GRIN2A/PRL/ADRB3/GLRA2/GRID2/AGTR1/CHRNA6/GABRB3/GABRA5/P2RX2/GLRB/GRM4/GRM6/GRIN2B/SSTR2/GRM1/C3/GRIA1/TRPV1/GRM8/GABRR1/GH2/GRM2/CSH1/FPR1/PTH2R/GABRR3/DRD3/OXTR/PTH/CCKBR/CALCA/F2/EDN2/DRD2/ADORA1/LTB4R2/CHRNB1/NMB/MC4R/GHRH/ADORA2A/LPAR6/EDN3/NPY/GABRB1/GPR50/CHRNA3/CHRNA5/CHRNB4/PRLHR/EDNRB/LHCGR/QRFPR/GRIK3/MC5R/TACR1/GRP/PTGFR/C5AR1/GABRA1/S1PR1/ADRA1B/THRA/GABRE/LPAR4/P2RX7/TACR2/PRSS3/AVPR2/MC1R/GLRA1/LPAR1/HTR2C/CHRM2/P2RY2/CHRNA2/HRH2/PNOC/KNG1/CGA/MLN/GRIK5/ADCYAP1R1/GPR83/HTR5A/P2RX4/CSH2/GABRD/OPRD1/HCRTR1/GRIN2C/GRIA4/CHRNB2/UTS2/PTGER3",304
"hsa04810","Regulation of actin cytoskeleton","198/5851","229/8662",2.36603820650142e-11,1.9993022844937e-09,1.06471719292564e-09,"TMSB4Y/SPATA13/ITGA8/FGF16/FGF9/BDKRB1/FGF10/CRK/BCAR1/AKT3/DOCK1/CHRM5/MOS/ROCK1/PFN3/ITGAD/BDKRB2/NCKAP1L/FGF18/BRK1/FGF17/RRAS/LIMK1/WASL/ITGAL/MSN/MAP2K1/FGF20/PIP5K1C/DIAPH1/INSRR/EGF/CHRM1/F2R/FGD1/PIK3CA/C5/MYH10/CHRM4/EGFR/RAC1/FGF6/PFN1/C6/ITGB3/FGF19/FGF4/NRAS/MYH14/CXCR4/C8A/C8B/PFN4/GNG12/ARHGEF4/ITGA9/DIAPH3/CYFIP1/IQGAP3/ACTN4/HRAS/MYH11/MYL9/ITGB2/ARHGEF7/TIAM1/ITGA2/PPP1R12A/ITGA5/SLC9A1/PDGFRA/C8G/PDGFD/MYH9/ARHGEF12/GNA13/PPP1R12C/FGF1/RAC2/FGF21/PIP5K1A/ITGAM/ITGAX/PIKFYVE/APC2/ITGB6/SSH1/DIAPH2/PIP4K2C/ACTN1/IQGAP1/CHRM3/FGF23/LPAR5/PAK2/PTK2/GSN/PIP5K1B/PAK3/ITGB1/C9/PIK3R1/BAIAP2/IQGAP2/FN1/MAP2K2/VAV2/ARPC1B/CYFIP2/ITGB5/PDGFA/FGF2/FGFR3/C7/BRAF/MYLK/ITGA4/FGF5/ITGAE/APC/MYLK3/PDGFC/PXN/ACTR3C/ARHGAP35/ITGA10/SOS1/RAF1/PIK3R3/ITGA6/F2/ITGAV/SSH2/NCKAP1/ACTR2/PIK3CD/ROCK2/SRC/MAPK1/PIP4K2A/ITGA11/SCIN/MYL12B/FGD3/MYLK2/ITGB8/ITGA1/PIP4K2B/VAV1/RRAS2/ITGB7/ACTG1/CRKL/VCL/WASF1/VAV3/PDGFRB/PAK1/PIK3CB/SOS2/PIK3R2/LPAR4/LIMK2/ACTB/MYL7/GNA12/LPAR1/ARHGEF6/CHRM2/CFL1/FGFR4/BUB1B-PAK6/PAK6/SSH3/ITGA2B/RHOA/FGFR1/GIT1/MYLK4/FGFR2/KNG1/ARPC1A/CXCL12/AKT1/MYL10/AKT2/PFN2/ARHGEF1/ITGA7/ARPC2/KRAS/RAC3/ITGB4/ITGA3/WASF2/ABI2/PPP1R12B/CDC42",198
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy","81/5851","84/8662",4.7599014705645e-11,3.2176933941016e-09,1.71356452940322e-09,"SGCG/CDH2/ITGA8/CACNG2/LAMA1/TCF7L1/CACNG4/CACNG1/CTNNA3/SNTA1/DMD/TCF7L2/LAMA2/CACNB2/CACNG3/CACNA2D2/CTNNA2/CACNB3/CACNA1S/CACNA2D1/ITGB3/CAV3/SLC8A1/RYR2/CACNA2D4/CACNA1C/ITGA9/ATP2A3/ITGA2/DTNA/ITGA5/CACNA1F/CACNG5/SNTB1/CTNNA1/DSG2/EMD/ITGB6/CACNG8/CACNG6/ITGB1/SLC8A3/ITGB5/SLC8A2/TCF7/ITGA4/DSP/CTNNB1/ITGA10/CACNA1D/ITGA6/PKP2/JUP/ITGAV/ACTN2/ITGA11/ITGB8/ITGA1/DSC2/ITGB7/ACTG1/ATP2A1/ACTB/LEF1/ACTN3/SGCD/SGCA/CACNG7/ITGA2B/SGCB/ATP2A2/GJA1/NOS1/DAG1/ITGA7/CACNB1/ITGB4/ITGA3/CACNA2D3/CACNB4/LMNA",81
"hsa05224","Breast cancer","132/5851","147/8662",1.73412140682824e-10,9.7688839251324e-09,5.20236422048471e-09,"PTEN/CSNK1A1L/SHC4/FGF16/GADD45G/FGF9/LRP6/WNT7A/FGF10/FRAT1/E2F1/FRAT2/HES5/E2F2/AKT3/WNT8B/TCF7L1/DLL1/NOTCH4/NOTCH1/HES1/FGF18/FGF17/FZD1/MAP2K1/NFKB2/ERBB2/FGF20/TCF7L2/FZD9/EGF/HEYL/WNT3A/PIK3CA/MYC/EGFR/FGF6/FZD7/CCND1/FGF19/FGF4/NRAS/NCOA1/FZD10/FZD5/FZD4/FZD2/TP53/WNT9A/WNT6/JUN/JAG1/RB1/HRAS/TNFSF11/IGF1R/BRCA2/FGF1/FGF21/APC2/FZD3/JAG2/NOTCH3/FGF23/KIT/SHC3/GSK3B/ESR1/SP1/SHC2/PIK3R1/WNT2/MAP2K2/FLT4/TCF7/FGF2/BRAF/POLK/FGF5/APC/DVL3/CTNNB1/LRP5/SOS1/DDB2/NOTCH2/RAF1/PIK3R3/AXIN2/BRCA1/GADD45A/DVL1/PIK3CD/MTOR/NCOA3/MAPK1/FOS/AXIN1/WNT3/WNT9B/DLL3/WNT16/FZD8/PIK3CB/SOS2/PIK3R2/ESR2/WNT7B/CDK4/LEF1/RPS6KB2/WNT10A/WNT5A/DLL4/WNT8A/FGFR1/DVL2/HEY1/FZD6/AKT1/BAX/PGR/WNT11/CSNK1A1/WNT1/HEY2/WNT5B/AKT2/WNT4/SHC1/KRAS/RPS6KB1",132
"hsa04151","PI3K-Akt signaling pathway","294/5851","359/8662",3.64922908353863e-10,1.76205632890865e-08,9.38373192909934e-09,"IL3RA/OSM/PTEN/ANGPT4/FLT3/IFNA16/IFNA7/ITGA8/COL6A1/FGF16/FGF9/PIK3AP1/FGF10/YWHAZ/IFNA10/CREB5/GYS2/COL4A5/BDNF/AKT3/VEGFD/LAMA1/EPHA2/JAK2/LAMA4/GNG11/TNXB/ATF6B/CCNE1/LAMB4/VEGFC/IL3/DDIT4/IL2/LPAR3/PIK3R6/PCK1/LAMC1/PKN3/PPP2CB/FGF18/FGF17/YWHAG/GNG10/IFNB1/IFNA21/EPO/EFNA4/IBSP/MAP2K1/ERBB2/RELN/IFNA14/IFNA5/IFNA2/IFNA8/RBL2/FGF20/LAMB2/LAMA2/IFNA6/IFNA13/TLR4/EIF4EBP1/EREG/EGF/GNG3/CHRM1/F2R/TNC/PIK3CA/NRTN/MYC/THBS1/GNG8/PIK3CG/NGF/EGFR/PSPN/RAC1/FGF6/ITGB3/MDM2/IRS1/COL4A4/COL6A3/COL6A6/CCND1/RPTOR/FGF19/FGF4/GNG13/NRAS/EFNA2/COL6A5/TP53/GNG12/FASLG/GNB1/ERBB4/TNN/PPP2R3B/ITGA9/PPP2R5E/LAMA5/HRAS/GHR/INSR/IFNAR2/ITGA2/IL7R/PRLR/COL6A2/FLT1/PPP2R2D/IGF1R/ITGA5/PDGFRA/HGF/FOXO3/PDGFD/FGF1/VTN/PPP2R5D/PPP2R5B/PKN1/FGF21/NOS3/ITGB6/RET/LAMC2/CREB3L1/IKBKB/LAMB1/ANGPT2/GNB4/NTRK2/GNB2/KDR/GNB3/PPP2R2B/THBS2/BAD/FGF23/LPAR5/GH1/VWF/KIT/PTK2/PHLPP2/GSK3B/COL9A2/PRL/GNG2/COL1A1/HSP90AA1/ITGB1/PIK3R1/CHUK/FN1/MAP2K2/PIK3R5/COL1A2/ITGB5/PDGFA/ERBB3/FLT4/FGF2/FGFR3/JAK3/ITGA4/FGF5/CREB3L2/COL4A3/GH2/THBS4/CSH1/PDGFC/MAGI2/CHAD/MAGI1/PPP2R1A/ITGA10/RELA/SOS1/RAF1/PPP2R3A/PIK3R3/ITGA6/NGFR/BRCA1/ITGAV/IL6R/PIK3CD/JAK1/MTOR/BCL2L11/NTRK1/TNR/CSF3R/PCK2/COL4A2/PHLPP1/COL4A1/YWHAH/MAPK1/LPAR6/ITGA11/LAMA3/YWHAE/BCL2L1/ITGB8/ITGA1/SYK/RXRA/CDC37/GDNF/NTF3/ITGB7/G6PC2/PPP2R1B/PRKCA/TEK/ATF4/CD19/LAMC3/PKN2/SGK2/IL2RB/SGK3/PDGFRB/CSF1/PIK3CB/SOS2/PIK3R2/GNB5/LPAR4/COL4A6/YWHAB/CDK4/CCNE2/PPP2R5A/LAMB3/LPAR1/THBS3/RPS6KB2/CCND2/IL2RA/CHRM2/SPP1/EFNA5/COL2A1/EIF4B/IFNA4/NR4A1/FGFR4/CRTC2/NFKB1/PPP2R5C/ITGA2B/FGFR1/MCL1/HSP90B1/FGFR2/ANGPT1/CREB3L3/TSC1/AKT1/IL4R/COL9A1/CDKN1B/VEGFA/MLST8/G6PC3/NTF4/HSP90AB1/CSH2/THEM4/TLR2/MYB/OSMR/TSC2/AKT2/GYS1/PRKAA2/STK11/ITGA7/KRAS/EIF4E2/CREB1/ITGB4/ITGA3/RPS6KB1/YWHAQ",294
"hsa04020","Calcium signaling pathway","213/5851","253/8662",9.01937806214153e-10,3.81068723125479e-08,2.02936006398184e-08,"ADRA1D/GRPR/ADRA1A/CYSLTR1/DRD5/GNA14/FGF16/GRIN3A/FGF9/GRIN3B/BDKRB1/GNA15/FGF10/P2RX1/TACR3/ADCY1/PTGER1/NTSR1/VEGFD/PLN/PHKG2/SLN/ORAI3/CALML5/CALML3/VEGFC/CHRM5/DRD1/TRHR/BDKRB2/FGF18/FGF17/AVPR1A/ADRB1/SLC25A5/ADRB2/CCKAR/HTR2B/ERBB2/FGF20/GRIN2D/TBXA2R/PRKCB/EGF/CHRM1/F2R/HTR7/SLC25A31/RYR1/GRM5/NGF/EGFR/FGF6/P2RX3/CACNA1S/ITPR3/CAMK2B/HRH1/ITPKC/FGF19/FGF4/AVPR1B/ATP2B1/ADORA2B/ATP2B2/CXCR4/SLC8A1/ERBB4/HTR6/CASQ2/RYR2/CACNA1C/SLC25A6/ADCY4/CACNA1I/HTR2A/NFATC2/PLCB2/CYSLTR2/ADCY2/ADCY9/NFATC1/ATP2A3/FLT1/PRKACA/PDGFRA/HGF/PDE1C/CACNA1F/ADCY8/PDGFD/PLCB4/PRKACG/FGF1/NFATC3/FGF21/NOS3/CASQ1/RET/ITPR2/ITPKA/CAMK1D/PHKA2/MCU/TPCN2/PLCE1/CAMK1G/PLCB3/NTRK2/ADCY7/KDR/GNAS/CHRM3/FGF23/CACNA1A/GRIN2A/TPCN1/CALM1/ADRB3/AGTR1/PRKCG/PLCD4/P2RX2/NTRK3/SLC8A3/GRIN2B/PDGFA/RYR3/PLCG2/ITPR1/PHKB/ERBB3/GRM1/SLC8A2/FLT4/ADCY3/VDAC1/FGF2/FGFR3/MYLK/NOS2/FGF5/MST1/MYLK3/PDGFC/MST1R/CACNA1G/CACNA1H/HRC/OXTR/CACNA1D/CCKBR/PDE1A/NTRK1/CACNA1E/LTB4R2/NFATC4/ADORA2A/GNAQ/MYLK2/GNAL/PHKA1/GDNF/EDNRB/PTK2B/LHCGR/PRKCA/TACR1/PLCG1/MCOLN2/PTGFR/ATP2A1/ADRA1B/PDE1B/CD38/PPP3CB/PDGFRB/TFEB/P2RX7/TACR2/SPHK2/PLCZ1/CACNA1B/PLCB1/HTR2C/PLCD1/CAMK1/CHRM2/FGFR4/ATP2B3/HRH2/STIM2/FGFR1/CAMK2G/MYLK4/ASPH/FGFR2/CAMK2A/ATP2A2/CAMK2D/VEGFA/HTR5A/NOS1/P2RX4/TRDN/ORAI1/ITPKB/STIM1/GRIN2C/MCOLN3/ATP2B4/PRKACB/PTGER3",213
"hsa04935","Growth hormone synthesis, secretion and action","109/5851","120/8662",1.33211008796198e-09,5.00281344145722e-08,2.66422017592397e-08,"IRS2/SSTR3/SHC4/SSTR1/CREBBP/CRK/CREB5/ADCY1/BCAR1/AKT3/JAK2/ATF6B/GNAI1/IRS4/GHSR/EP300/IGFALS/MAPK8/JUNB/MAP2K1/IGFBP3/PRKCB/MAP3K1/PIK3CA/ADCY6/CACNA1S/SOCS3/ITPR3/IRS1/MRAP2/NRAS/SSTR5/MAP2K3/STAT3/SST/CACNA1C/ADCY4/HRAS/PLCB2/ADCY2/ADCY9/GHR/MAPK12/GNAI2/PRKACA/CACNA1F/ADCY8/PLCB4/PRKACG/MAP2K4/ITPR2/CREB3L1/PLCB3/ADCY7/MAPK9/GNAS/GHRHR/GH1/SHC3/PTK2/GSK3B/PRKCG/SHC2/PIK3R1/MAP2K2/PLCG2/ITPR1/SSTR2/ADCY3/CREB3L2/GH2/CSH1/STAT5B/SOS1/RAF1/ADCY5/CACNA1D/PIK3R3/MAP2K6/PIK3CD/MTOR/GNAI3/GHRH/MAPK1/FOS/GNAQ/MAPK11/CRKL/PRKCA/ATF4/PLCG1/MAPK10/PIK3CB/SOS2/PIK3R2/ADCY10/MAPK13/PLCB1/CREB3L3/AKT1/POU1F1/MAPK14/CSH2/AKT2/SHC1/KRAS/CREB1/STAT1/PRKACB",109
"hsa04024","cAMP signaling pathway","191/5851","225/8662",1.64762599360939e-09,5.54846870128254e-08,2.95480581725106e-08,"GPHB5/DRD5/SSTR1/GRIN3A/HCN4/CREBBP/EDN1/PTGER2/GRIN3B/OXT/CREB5/ADCY1/HTR1E/BDNF/AKT3/PLN/CALML5/CALML3/CRH/GIP/SUCNR1/GNAI1/ARAP3/MC2R/DRD1/GRIA3/ROCK1/GHSR/GPR119/TSHB/EP300/HTR1A/CNGA2/GLI1/RRAS/MAPK8/ADRB1/ADRB2/MAP2K1/FFAR2/PDE3A/PDE10A/HCAR2/HCAR3/HCAR1/GRIN2D/CHRM1/F2R/PIK3CA/HTR1F/GLP1R/ADCY6/CFTR/HCN2/RAC1/GRIA2/CACNA1S/PLD1/CAMK2B/SSTR5/ATP2B1/ATP2B2/SST/NPR1/HTR6/HTR1D/JUN/RYR2/CACNA1C/ADCY4/ADCY2/ADCY9/NFATC1/MYL9/TIAM1/ATP2A3/GABBR2/GNAI2/PDE3B/ADCYAP1/PPP1R12A/PRKACA/ABCC4/SLC9A1/FSHR/CACNA1F/ADCY8/RAPGEF3/VIP/GABBR1/NPY1R/HTR1B/PRKACG/ATP1B2/SOX9/TSHR/RAP1B/RAC2/VIPR2/CRHR2/ATP1A2/CREB3L1/PDE4C/CNGB3/CNGA1/ATP1A4/PLCE1/ADCY7/ATP1A1/MAPK9/GNAS/BAD/PLD2/GIPR/CNGB1/GRIN2A/CALM1/PIK3R1/MAP2K2/VAV2/PTCH1/GRIN2B/SSTR2/ADCY3/BRAF/GRIA1/CREB3L2/ATP1A3/PDE4D/FXYD2/RELA/OXTR/RAF1/ADCY5/CACNA1D/PIK3R3/PDE4B/EDN2/DRD2/PIK3CD/CNGA3/ROCK2/ADORA1/GNAI3/ADORA2A/MAPK1/FOS/EDN3/NPY/VAV1/PDE4A/RRAS2/BVES/LHCGR/ATP2A1/ATP1B4/ATP1B3/VAV3/MAPK10/PAK1/PIK3CB/PIK3R2/ADCY10/LIPE/GLI3/CHRM2/ATP2B3/KCNK2/NFKB1/RHOA/CAMK2G/HHIP/CGA/CREB3L3/CAMK2A/AKT1/ATP2A2/CAMK2D/ADCYAP1R1/ACOX3/AKT2/ORAI1/CNGA4/GRIN2C/RAC3/CREB1/GRIA4/ATP1B1/ATP2B4/PRKACB/PTGER3",191
