"","x"
"TP53",84.2998252225829
"FAT1",29.7376319460742
"LRP1B",29.5743623786039
"CDKN2A",26.9802284787263
"PIK3CA",25.9797009241203
"NOTCH1",24.6392471466972
"SYNE1",23.1635645394339
"DNAH5",21.5315344593593
"FLG",20.184559322315
"RYR2",16.8083818628789
"DMD",15.8154765933017
"FAT4",15.4809970353755
"PLEC",14.2071213995106
"ZFHX4",14.1772424645276
"PCDH15",14.0542651629717
"CASP8",13.4822124306598
"COL11A1",13.1121614899121
"SYNE2",12.5516922987966
"CDH10",12.4996649500011
"LRP2",12.4591290511899
"DNAH8",11.9366779668079
"DNAH7",11.8645021472262
"RP1",11.5651211170736
"APOB",11.3131533862178
"NEB",11.2367559231741
"LAMA2",11.0648199710414
"PEG3",11.0385939726791
"ANK2",10.8951551158887
"CTNND2",10.6096165784908
"ZNF536",10.3875373933235
"COL22A1",10.3388223194688
"PCDH11X",10.2330025899581
"ASXL3",10.1802318053928
"SPTA1",10.0534204025671
"HERC2",10.0518272792189
"LRP1",10.0254955833514
"DOCK2",9.97274459637987
"ZNF208",9.95221890072748
"COL6A6",9.95209387984359
"RUNX1T1",9.92028179711274
"HUWE1",9.70283960119048
"COL1A2",9.63678256393145
"RNF213",9.6365976815131
"DNAH3",9.60575998023569
"MYH4",9.59127263689428
"CREBBP",9.5765662923143
"DCHS2",9.34803393349689
"ANO5",9.27056050130494
"CACNA1E",9.23141584375525
"GRIN2B",9.21263233550916
"COL6A3",9.19012461685185
"EP300",9.0909221484367
"NFE2L2",9.0791252244777
"PCDH17",9.05195624939507
"ERBB4",9.01596750573607
"PRKDC",8.89401486453476
"LAMA1",8.84668304131232
"CTNNA2",8.84494993084147
"LRRTM1",8.82920286083321
"FAT2",8.78053856256481
"AKAP9",8.78051518346887
"GRIN2A",8.64713384222851
"PCDH10",8.5415990362659
"KALRN",8.53371870960097
"PTPRC",8.50933692949044
"CELSR2",8.50204815951645
"MYH8",8.46341596427338
"CUX1",8.37925958814366
"NBAS",8.34180414152662
"DYNC1H1",8.30621092248755
"MAP1B",8.29682756444455
"MYH9",8.26406423587899
"FBXW7",8.23730641117715
"AJUBA",8.21951428513479
"MYH13",8.20805815037277
"BIRC6",8.20633355025957
"COL14A1",8.18766382331256
"OBSCN",8.13682621448406
"PCDHA7",8.08539573043237
"ACACB",8.08264426119266
"PLXNB2",8.05712841965864
"EPB41L3",8.05228580273053
"EPPK1",8.04370419507687
"ABCC8",7.95713465634101
"PLCE1",7.93640685033598
"POLQ",7.93388193723598
"EPHA5",7.82760916168221
"CDH9",7.82213547843879
"HLA-A",7.80261625212206
"LRRK2",7.71355605819261
"KCNB2",7.7027859774012
"FRAS1",7.67436317642551
"PLXNA1",7.61555615090778
"MAGEC1",7.6016628037288
"MYH1",7.57185274485489
"CPS1",7.57083268121309
"HSPG2",7.56995182521526
"NOTCH2",7.49096186658797
"CD163",7.48688818463439
"CDH11",7.48235146184527
"TAF1L",7.47762625142506
"PPFIA2",7.47240602077977
"LAMA5",7.44987896020763
"CDH19",7.42925280736362
"ADCY2",7.40346696224243
"ADCY8",7.38224372585881
"MYH7",7.37814507297352
"ARID1A",7.32457866953274
"EGFR",7.30828584409602
"LAMA4",7.27911774301442
"BRWD3",7.2642947699917
"PCDHA13",7.23368190338293
"ANK3",7.22568699320064
"CHST6",7.22184425183567
"RASA1",7.22140742761204
"EIF4G1",7.19931749961701
"HCN1",7.1824667246077
"EXOC4",7.08681691793658
"FREM2",7.08475221409515
"DCC",7.07043078103265
"ALMS1",7.06051356650485
"HTR1A",7.04600621666665
"ZFHX3",7.04125111177563
"SRCAP",7.0122892200809
"KIAA1549",7.00506126394367
"ATRX",6.94888029766711
"DYNC2H1",6.94289801070253
"NIPBL",6.91345454471691
"ACACA",6.89540850902611
"SPTBN1",6.87375247786534
"LRP4",6.86219419368771
"EPHA3",6.84850495352853
"GTF3C1",6.84431378187115
"WNK1",6.83099447694166
"PCDHB7",6.82840776065564
"MED12",6.82442318990953
"CACNA1D",6.82405110143812
"NLRP12",6.81934222879526
"ATR",6.81631789798831
"PCDHA3",6.81046783510972
"PROX1",6.81041301672206
"CELSR1",6.80375096163409
"FLG2",6.80235533180383
